trade_date_vn,total_positions,total_deals,buy_deals,sell_deals,win_positions,loss_positions,net_profit,gross_profit,gross_loss,total_commission,total_swap,total_deposit,total_withdrawal,updated_at_utc
2026-03-02,23,46,23,23,12,11,1181.9500000000003,1208.7700000000002,-26.820000000000004,0.0,0.0,762.7900000000001,0,2026-03-05T06:19:41Z
2026-03-03,46,92,46,46,16,29,-770.7500000000002,31.979999999999997,-802.73,0.0,0.0,0,0,2026-03-05T06:19:55Z
2026-03-04,135,270,135,135,81,54,-163.41000000000008,208.4399999999999,-371.8499999999998,0.0,0.0,0,0,2026-03-05T06:20:19Z
2026-03-05,75,150,75,75,32,42,-103.13999999999999,363.17,-466.30999999999995,0.0,0.0,295.17,0,2026-03-06T02:00:02Z
2026-03-18,18,36,18,18,4,14,-27.609999999999996,7.02,-34.629999999999995,0.0,0.0,0,0,2026-03-19T02:00:02Z
2026-03-19,26,52,26,26,19,7,-26.759999999999998,78.53999999999999,-105.3,0.0,0.0,61.12,0,2026-03-20T02:00:03Z
2026-03-23,11,22,11,11,7,4,-24.31,35.65,-59.959999999999994,0.0,0.0,24.31,0,2026-03-24T02:00:02Z
2026-07-01,0,0,0,0,0,0,-0.8,0,-0.8,0.0,0.0,0,0,2026-07-02T02:00:04Z
2026-07-23,41,82,41,41,19,22,1209.8799999999997,1370.5599999999997,-160.68,0.0,0.0,530.4,0,2026-07-24T02:00:04Z
